序号,URL,视频标题,静态开始时间1,静态结束时间1,静态开始时间2,静态结束时间2
900,https://www.bilibili.com/video/BV16wgzzDEwP?spm_id_from=333.788.videopod.sections&vd_source=a705c1eee86cc3e804c9155ad1d32992,航拍瑞士：绿野托雪山，村烟缠云带，治愈到窒息,1537,1600,,
901,https://www.bilibili.com/video/BV1B44y1V7Vd/?spm_id_from=333.1387.homepage.video_card.click&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,久等的 一镜到底 来咯，建筑面积260平，四室两厅，奶茶色系的美式轻奢风怎么看都不会腻。,0006,0026,,
902,https://www.bilibili.com/video/BV1vr4y1n7iz/?spm_id_from=333.1387.homepage.video_card.click&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,走马岭129平完工一镜到底来啦，看看12W+入住的家，老粉们发现有哪些变化了吗,0006,0026,,
903,https://www.bilibili.com/video/BV1S44y1V7rm/?spm_id_from=333.1387.homepage.video_card.click&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,一镜到底入住一年半的家 自己喜欢的样子 家装装修,0007,0027,,
904,https://www.bilibili.com/video/BV1a44y1V71Z/?spm_id_from=333.1387.homepage.video_card.click&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,答应你们的一镜到底40平公寓，一室一厅一卫， loft复式 实景拍摄,0006,0026,,
905,https://www.bilibili.com/video/BV1K34y1v7yn/?spm_id_from=333.1387.homepage.video_card.click&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,一镜到底，带大家欣赏【湖山郡42号楼】96㎡【现代轻奢风】落地效果,0007,0027,,
906,https://www.bilibili.com/video/BV1p1n8zdEAk?spm_id_from=333.788.videopod.episodes&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd&p=5,多洛米蒂山4K视觉之旅,0023,0053,,
907,https://www.bilibili.com/video/BV1uL4y1576a/?spm_id_from=333.1387.homepage.video_card.click&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,一镜到底 想中的家 随手一拍都ju好看 是江景房唉！,0007,0027,,
908,https://www.bilibili.com/video/BV1gZ47zQEni/?spm_id_from=333.337.search-card.all.click&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,独居天花板设计！开放式卫生间+主卧巧思太惊艳。#一镜到底看我家#意式极简风#主卧卫生间设计#装修巧思#刘耀成作品细节,0007,0027,,
909,https://www.bilibili.com/video/BV1su4EzVEhC?spm_id_from=333.788.videopod.sections&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,69㎡变高质独居豪宅，客厅主卧互通设计太开阔了！#一镜到底看我家#意式极简风#客厅主卧设计#装修巧思#刘耀成作品细节,0007,0027,,
910,https://www.bilibili.com/video/BV1zv4LzZEAW?spm_id_from=333.788.videopod.sections&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,破格局显高级，69平洗手间餐厅设计巧思惊艳！#一镜到底看我家#洗手间餐厅设计#好设计让家越住越大#装修巧思#刘耀成作品细节,0007,0027,,
911,https://www.bilibili.com/video/BV1bpn2z2EzH?spm_id_from=333.788.videopod.sections&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,卫生间这样设计太美了！四分离+极限收纳，顶尖设计就是牛！#一镜到底看我家#卫生间设计#好设计让家越住越大#装修巧思#刘耀成作品细节,0006,0028,,
912,https://www.bilibili.com/video/BV1uHn2z7EV2?spm_id_from=333.788.videopod.sections&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,餐厨区还可以这样设计！两口之家餐厨范本，7个细节见真彰！#一镜到底看我家#餐厨区设计#好设计让家越住越大#装修巧思#刘耀成作品细节,0008,0029,,
913,https://www.bilibili.com/video/BV1Ktn2zVEj2?spm_id_from=333.788.videopod.sections&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,116平客厅设计新思路，8招解锁极致客厅！#一镜到底看我家#客厅设计#好设计让家越住越大#装修巧思#刘耀成作品细节,0008,0030,,
914,https://www.bilibili.com/video/BV1HS4y1u7ZN/?spm_id_from=333.337.search-card.all.click&vd_source=2c6038ba717e24e6b7c1ac3fec2aa1cd,带你们一镜到底看我家 一镜到底 106平，套内83,0002,0022,,
915,https://www.bilibili.com/video/BV1enAkegEi4/?buvid=XUE2A67EC80E5DF772273C0B3D6A9231A4D39&from_spmid=main.space-contribution.0.0&is_story_h5=false&mid=5jdajNDPCwnFMliNh270IA%3D%3D&p=1&plat_id=122&share_from=ugc&share_medium=android&share_plat=android&share_session_id=43bc139d-0c50-4437-b15c-0c2f922e120d&share_source=COPY&share_tag=s_i&spmid=united.player-video-detail.0.0&timestamp=1760112573&unique_k=xpfw8va&up_id=285472475,乡村自由驾驶，绝美的自然风景,0201,0221,,
916,【苏格兰 4K 平静风景 - 轻松的音乐和美丽的自然视频】 https://www.bilibili.com/video/BV11ipneEE3n/?share_source=copy_web&vd_source=0dc29cc0bf001e8d237a7292aa94ac86,苏格兰 4K 平静风景,0206,0225,,
917,https://www.bilibili.com/video/BV1E6J7zmEBQ/?share_source=copy_web&vd_source=ed2cec7cab7cbe3a6847e1e4644f576c,一镜到底-穿越稻田-全速怕什么怕,0205,0221,,
918,https://www.bilibili.com/video/BV1Cx421k7Rr/?spm_id_from=333.1387.upload.video_card.click,4KHDR 真彩®】最佳杜比视界™4k HDR【理想之地】,0201,0235,,
919,https://www.bilibili.com/video/BV1uJ4m1L7kq/?spm_id_from=333.1387.upload.video_card.click,【4KHDR 真彩®】 史诗般的视觉盛宴 | 杜比视界,0215,0215,,
920,https://www.bilibili.com/video/BV1Gz421C7Fv/?spm_id_from=333.1387.upload.video_card.click,【4KHDR 真彩®】令人难以置信的色彩 4K HDR 超高清 - 影院级 4K 视频,0206,0226,,
921,https://www.bilibili.com/video/BV1cD421J7YK/?spm_id_from=333.1387.upload.video_card.click,【4KHDR 真彩®】 奇妙的杜比视界 HDR 4K 60FPS - 杜比全景声,0206,0245,,
922,【【4KHDR 真彩®】终极最佳 4K HDR OLED ｜ 杜比视界视频，令人震撼的画质】 https://www.bilibili.com/video/BV1bf421d7nQ/?share_source=copy_web&vd_source=4feba3fa8fe09cb7c43b5434b6cb2b5b,【4KHDR 真彩®】终极最佳 4K HDR OLED ｜ 杜比视界视频，令人震撼的画质,0205,0215,,
923,【【4KHDR 真彩®】 OLED测试 真·HDR ｜ 色彩艺术】 https://www.bilibili.com/video/BV1TD4213785/?share_source=copy_web&vd_source=4feba3fa8fe09cb7c43b5434b6cb2b5b,【4KHDR 真彩®】 OLED测试 真·HDR ｜ 色彩艺术,0201,0214,,
924,【【4KHDR 真彩®】 超越现实 真·HDR ｜ 沉浸式体验，杜比视界】 https://www.bilibili.com/video/BV1Sf42197Uv/?share_source=copy_web&vd_source=4feba3fa8fe09cb7c43b5434b6cb2b5b,【4KHDR 真彩®】 超越现实 真·HDR ｜ 沉浸式体验，杜比视界,0206,0230,,
925,【【4KHDR 真彩®】 哔哩哔哩 真·HDR ｜ 体验杜比视界 HDR】 https://www.bilibili.com/video/BV1qn4y1R7cD/?share_source=copy_web&vd_source=4feba3fa8fe09cb7c43b5434b6cb2b5b,【4KHDR 真彩®】 哔哩哔哩 真·HDR ｜ 体验杜比视界 HDR,0208,0221,,
926,【【4KHDR 真彩®】【时长2小时】 1000 个令人惊叹的杜比视界™ 4K HDR 地点】 https://www.bilibili.com/video/BV1u142127Cv/?share_source=copy_web&vd_source=4feba3fa8fe09cb7c43b5434b6cb2b5b,4KHDR 真彩®】【时长2小时】 1000 个令人惊叹的杜比视界™ 4K HDR 地点,0205,0224,,
927,https://www.bilibili.com/video/BV1R1e4zKEh1/?spm_id_from=333.337.search-card.all.click&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4KHDR 真彩®】《最佳 4K HDR》—— ULTRA HD 60帧 杜比视界测试片源,0015,0029,0115,0124
928,https://www.bilibili.com/video/BV1bFe8zeED8?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4KHDR 真彩®】 《震撼视觉盛宴》—— 8K HDR 杜比视界™ Ultra HD,0007,0018,0019,0029
929,https://www.bilibili.com/video/BV1wBxxePEou?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4KHDR 真彩®】 地球上最宁静的地方,0006,0012,0019,0023
930,https://www.bilibili.com/video/BV1ge4y1578E?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】日本红叶 [3小时Plus Pro加长版] 解压-治愈-工作背景音-清晨叫醒-夜晚助眠,0140,0158,0229,0247
931,https://www.bilibili.com/video/BV1J8411J7zF?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】海边夕阳 [3小时Plus Pro加长版] 解压-治愈-工作背景音-清晨叫醒-夜晚助眠,0015,0041,,
932,https://www.bilibili.com/video/BV1S24y1a7EC?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】庭院听雨 [3小时Plus Pro加长版] 解压-治愈-工作背景音-清晨叫醒-夜晚助眠,0101,0139,,
933,https://www.bilibili.com/video/BV13z4y1e7z1?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】宁静的夜晚灯光,0049,0102,0103,0114
934,https://www.bilibili.com/video/BV13R4y1i7fK?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】海边旅馆 [1小时Plus加长版] 解压-治愈-工作背景音-清晨叫醒-夜晚助眠,0047,0124,,
935,https://www.bilibili.com/video/BV1Vm4y1i79v?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】海边日落 [6小时加长版],0102,0132,,
936,https://www.bilibili.com/video/BV1YM4y1779M?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】治愈雪景 炎炎夏日降降温,0008,0029,,
937,https://www.bilibili.com/video/BV158411Z75Z?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】夏之音 [3小时加长版],0038,0104,,
938,https://www.bilibili.com/video/BV1j3411d7cM?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】富士山日出 解压-治愈-工作背景音-清晨叫醒-夜晚助眠,0030,0110,,
939,https://www.bilibili.com/video/BV1rM41147f9?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】富士山日落 解压-治愈-工作背景音-清晨叫醒-夜晚助眠,0111,0136,,
940,https://www.bilibili.com/video/BV1gA41197rS?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】尼泊尔 [3小时Plus Pro加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠,0023,0040,0112,0122
941,https://www.bilibili.com/video/BV1WN411k76r?spm_id_from=333.788.videopod.sections&vd_source=3f65c0e40b9528e17777dbe68d8faba9,【4K风景】马尔代夫 [3小时加长版],0014,0035,,
942,【FPV一镜到底穿越校园】 https://www.bilibili.com/video/BV1PR4y1C7vN/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,第一次拍校园一镜到底,0000,0032,,
943,https://www.bilibili.com/video/BV1X5xVz6Et4/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【4K一镜到底，大疆AIR3S航拍静宁县】,0000,0130,,
944,https://www.bilibili.com/video/BV1sc411q756/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【超长穿越机一镜到底【云顶天宫】4K】,0000,0129,,
945,https://www.bilibili.com/video/BV1Cm4y1b7JV/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【一镜到底4K航拍钱江两岸】,0000,0136,,
946,https://www.bilibili.com/video/BV1Ww4m1f77A/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【【4K】飞越黄山 一镜到底】,0034,0055,,
947,https://www.bilibili.com/video/BV17w411M71z/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【1分钟“一镜到底”攀爬广西网红景点剑龙山（4K）】,0000,0139,,
948,https://www.bilibili.com/video/BV1b34y1D7Ad/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【4K60帧一镜到底航拍上海之鱼】,0027,0010,,
949,https://www.bilibili.com/video/BV1c337zFEzd/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【【4K HDR】漫步丽江古城一镜到底，1小时放松解压！】,0000,0020,,
950,https://www.bilibili.com/video/BV1xE4m1d7o1/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【名镇-边城茶峒-4K】,0005,0025,,
951,https://www.bilibili.com/video/BV1gv4y1j7SX/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【4K一镜到底拍摄九十多平米现代时尚简约装修】,0000,0328,,
952,https://www.bilibili.com/video/BV1i4knYPEBh/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【一镜到底带你攀登K2】,0040,0140,,
953,https://www.bilibili.com/video/BV1fG411Z73p/?share_source=copy_web&vd_source=a6fe2b709dbf022a40d0afdc9828978b,【【一镜到底 | 4K】航拍几十秒，练习几小时】,0000,0050,,
954,https://www.bilibili.com/video/BV1cmbszbEtw?spm_id_from=333.788.videopod.sections&vd_source=6309f3ab024cae98ce85d2afddfc4dfe,【4KHDR 真彩®】 隐秘之地的静谧辉煌 - 4K HDR Dolby Vision,0544,0606,,
955,https://www.bilibili.com/video/BV1cfh3zhEto?spm_id_from=333.788.videopod.sections&vd_source=6309f3ab024cae98ce85d2afddfc4dfe,【4KHDR 真彩®】 美得令人难以置信的地方 | 4K HDR 杜比视界自然风光 (60FPS),4732,4755,,
956,https://www.bilibili.com/video/BV1fAhGzoEEA?spm_id_from=333.788.videopod.sections&vd_source=6309f3ab024cae98ce85d2afddfc4dfe,【4KHDR 真彩®】 最佳杜比视界 4K 视频 HDR 60FPS - 舒缓压力的放松音乐,0444,0504,,
957,https://www.bilibili.com/video/BV1FjhuzpEni?spm_id_from=333.788.videopod.sections&vd_source=6309f3ab024cae98ce85d2afddfc4dfe,【4KHDR 真彩®】 令人难以置信的 HDR OLED 测试 4K 视频超高清杜比视界（4K 8K 电视演示）,4442,4516,,
958,https://www.bilibili.com/video/BV1jJxgz6EoX?spm_id_from=333.788.videopod.sections&vd_source=6309f3ab024cae98ce85d2afddfc4dfe,4k 空镜,0000,0020,,
959,https://www.bilibili.com/video/BV1rFaceyE1N?spm_id_from=333.788.videopod.sections&vd_source=6309f3ab024cae98ce85d2afddfc4dfe&p=6,山峰 山脉 火山 雪山 峡谷 免费商用4K超清视频素材【合集】,0000,0020,,
960,【年度最强视觉盛宴 8K HDR 杜比 - 放松风光影片】https://www.bilibili.com/video/BV1ZFn2zhEk1?vd_source=f9eb61c0160df9cb2ea134b658a45907,年度最强视觉盛宴 8K HDR 杜比 - 放松风光影片,0920,0940,,
961,【真·极致画质 12K HDR 杜比 - 放松风光影片】https://www.bilibili.com/video/BV1gwHyzjEwr?vd_source=f9eb61c0160df9cb2ea134b658a45907,真·极致画质 12K HDR 杜比 - 放松风光影片,0226,0246,,
962,【精美画质演示欣赏 4K HDR 杜比 - 放松风光影片】https://www.bilibili.com/video/BV1cZHkzcEnY?vd_source=f9eb61c0160df9cb2ea134b658a45907,精美画质演示欣赏 4K HDR 杜比 - 放松风光影片,3005,3025,,
963,【【4k】世界奇观 - 绝美风景休闲放松影片】https://www.bilibili.com/video/BV1rG411p7Ap?vd_source=f9eb61c0160df9cb2ea134b658a45907,【4k】世界奇观 - 绝美风景休闲放松影片,3125,3145,,
964,【【4K】斯洛文尼亚 - 绝美风景休闲放松影片】https://www.bilibili.com/video/BV1dy4y1t7rX?vd_source=f9eb61c0160df9cb2ea134b658a45907,【4K】斯洛文尼亚 - 绝美风景休闲放松影片,2809,2829,,
965,【【4K60帧】放松解压：下雨天在瑞士美丽静谧的乡村风景漫步 250920 | 作者：The Traveler】https://www.bilibili.com/video/BV1qSWcz3EJE?vd_source=f9eb61c0160df9cb2ea134b658a45907,【4K60帧】放松解压：下雨天在瑞士美丽静谧的乡村风景漫步 250920 | 作者：The Traveler,5217,5237,,
966,https://b23.tv/TuBNycp,【4K SDR 60fps 壁炉发出噼啪的火声-哔哩哔哩】,0005,0045,0123,0144
967,https://b23.tv/sZCEttl,【4K篝火晚会｜希望之河畔 🌿 纯净大自然的治愈白噪音-哔哩哔哩】,0245,0356,0913,1010
968,https://b23.tv/9AoORaE,【4K 📺 黑暗河流旁的篝火 🌙 大自然的舒缓之声-哔哩哔哩】,0621,0754,4531,4633
969,https://b23.tv/YaJtu2u,【4K 8小时 雪林中的真实篝火 ❄️ 100% 真实声音 🎁 新年快乐-哔哩哔哩】,0943,1011,4723,4844
970,https://b23.tv/0ci5K0R,【4K🎄圣诞原木壁炉🔥｜冬季森林篝火和飘落的雪花氛围-哔哩哔哩】,0854,0932,1213,1415
971,https://b23.tv/rne8dtC,【壁炉超高清 4K｜壁炉噼啪作响，发出金色火焰和燃烧原木的声音｜助于睡眠、放松-哔哩哔哩】,0654,0744,5356,5411
972,https://b23.tv/i0H5e09,【宁静湖畔的迷人夜晚篝火晚会，噼啪作响的篝火 🔥 和古朴的灯笼 🏮 终极 ASMR-哔哩哔哩】,0233,0453,3341,3511
973,https://b23.tv/k185fiY,【【壁炉・白噪音】放松身心的 ASMR 壁炉声，带来极致的舒适与宁静-哔哩哔哩】,0912,1011,5423,5401
974,https://b23.tv/ezpn65i,【【壁炉・白噪音】让你惊叹不已的壁炉大变身- 4K 壁炉燃烧 ASMR-哔哩哔哩】,0854,0916,5423,5543
975,https://b23.tv/vqRuKT5,【【壁炉・白噪音】万圣节南瓜氛围壁炉 | 在原木燃烧的美妙声音中放松身心-哔哩哔哩】,0123,0234,4322,4534
976,https://b23.tv/GHPldnz,【【 壁炉｜白噪音】4K 30分钟真实壁炉背景，燃烧着的原木和噼里啪啦的火声-哔哩哔哩】,0011,0231,2323,2433
977,https://b23.tv/k6oTLf6,【🔥 放松壁炉（4小时），燃烧原木和噼啪作响的火声，可缓解压力-哔哩哔哩】,0955,1119,1434,1543
978,https://b23.tv/iXbJOtt,【4K🔥 放松壁炉（3小时），燃烧原木和噼啪作响的火声，可缓解压力-哔哩哔哩】,0451,0601,4322,4532
979,https://b23.tv/r48gF62,【🔥 4K 壁炉的氛围（3小时）｜放松的原木燃烧视频和噼里啪啦的火焰声-哔哩哔哩】,0713,0208,4555,4446
980,https://b23.tv/OZsSW3O,【【壁炉｜白噪音】4K 🔥 放松壁炉(3小时) ，燃烧的原木和噼里啪啦的火声，用于缓解压力、助眠、学习和工作-哔哩哔哩】,0802,0900,1452,1544
981,https://b23.tv/s0XuB7M,【【壁炉｜白噪音】4K 🔥 3小时壁炉燃烧，噼里啪啦的木柴燃烧声，抚慰你的心灵-哔哩哔哩】,2007,2133,1159,1523
982,https://b23.tv/KnW3pnh,【【壁炉｜白噪音】4K 🔥 用燃烧的原木创造一个舒适的氛围 ASMR声音-哔哩哔哩】,0554,0617,1231,1411
983,https://b23.tv/9VCMBwF,【【壁炉｜白噪音】4K 舒适的壁炉之夜——令人难以置信的氛围，您永远不会忘记！-哔哩哔哩】,0844,0934,1222,1314
984,https://b23.tv/GaXCzdW,【【壁炉・白噪音】4K 伴随着这个令人惊叹的噼啪声快速入睡-哔哩哔哩】,1337,1512,0122,0432
985,https://b23.tv/nWXoeaH,【【壁炉・白噪音】舒适夜晚的完美背景：壁炉 4K ｜适合学习专注与睡眠-哔哩哔哩】,5123,5233,5434,5512
986,https://b23.tv/7tY0xVc,【【壁炉・白噪音】 4K 壁炉 - 原木燃烧的美妙声音营造出舒适的氛围-哔哩哔哩】,0122,0231,0342,0455
987,https://b23.tv/RziQCg5,【【壁炉・白噪音】4K 壁炉燃烧原木的声音放松身心，度过一个轻松愉快的夜晚-哔哩哔哩】,0807,0906,4322,4533
988,https://b23.tv/nOj9khC,【【壁炉・白噪音】令人难以置信真实的壁炉氛围！4K ASMR，舒适得让你无法离开-哔哩哔哩】,0312,0432,1342,1433
989,https://b23.tv/3zyHeHk,【【壁炉・白噪音】4K 燃烧壁炉声， ASMR 声音获得舒适感，用于睡眠与专注-哔哩哔哩】,4312,4533,1324,1433
990,https://b23.tv/rCyMm4O,【【壁炉・白噪音】令人着迷的木柴燃烧声 - 准备好放松｜ASMR 4K-哔哩哔哩】,4523,5423,3612,3912
991,https://b23.tv/ASmk7oz,【【壁炉・白噪音】聆听原木燃烧声 4K – ASMR 爆裂声，坠入舒适的壁炉深处-哔哩哔哩】,1234,1324,1131,1254
992,https://b23.tv/4608oZ2,【【壁炉・白噪音】4K 3小时舒适壁炉燃烧｜带有燃烧的原木和噼啪火声，适合放松与助眠-哔哩哔哩】,5324,5435,5644,5711
993,https://b23.tv/FFDjmWd,【【壁炉・白噪音】4K 夜间舒适的壁炉氛围 | 带有燃烧的原木和噼啪火声，适合放松与助眠-哔哩哔哩】,1254,1451,1231,1309
994,https://b23.tv/cQIR9N1,【【壁炉・白噪音】4K 夜间舒适的令人放松的壁炉氛围 | 壁炉噼噼啪啪的火声-哔哩哔哩】,1000,1123,5099,5121
995,https://b23.tv/MZHpnIk,【地球最震撼奇观 | 4K HDR 电影级影像-哔哩哔哩】,0228,0238,0242,0245
996,https://b23.tv/HRQlsfW,【【4K 120FPS】你的设备顶得住吗？4K120帧技术演示片-哔哩哔哩】,0226,0230,0240,0258
997,https://b23.tv/Vi6WA0m,【8K HDR 60fps 超高清 帧彩视界极致清晰度-哔哩哔哩】,0223,0232,0245,0258
998,https://b23.tv/fGU1MGG,【【4KHDR 真彩®】 最佳杜比视界™ 画质 ｜ 令人兴奋的超高清HDR视频-哔哩哔哩,0233,0236,0244,0250
999,https://b23.tv/EAs22Sg,【【4KHDR 真彩®】《最佳 4K HDR》—— ULTRA HD 60帧 杜比视界测试片源-哔哩哔哩】,0223,0231,0313,0327
1000,https://b23.tv/JSdXCLh,【【4KHDR 真彩®】4K HDR 杜比视界™ 中的宇宙地球-哔哩哔哩】,0311,0322,0332,0346
1001,https://b23.tv/6Jqp8ty,【【8KHDR 真彩®】 最佳杜比视界™ 画质 ｜ 令人兴奋的 8KHDR-哔哩哔哩】,0225,0234,0244,0255
1002,https://b23.tv/YSfnsLI,【【4KHDR 真彩®】 《震撼视觉盛宴》—— 8K HDR 杜比视界™ Ultra HD-哔哩哔哩】,0232,0243,0258,0307
1003,https://b23.tv/iPgaeB1,【【4KHDR 真彩®】 4K HDR 60帧 · 放松音乐体验-哔哩哔哩】,0229,0241,0254,0309
1004,https://b23.tv/YZyskx5,4KHDR 真彩®】《最佳 4K HDR》—— ULTRA HD 60帧 杜比视界测试片源-哔哩哔哩】,0232,0241,0253,0257
1005,https://b23.tv/QpLcW0s,【4KHDR 真彩®】 🌌 4K HDR 杜比视界 | 超震撼60帧画质 + 沉浸式学习放松音乐 🎶-哔哩哔哩,0306,0310,0327,0331
1006,https://b23.tv/ytvVm3R,【4KHDR 真彩®】 精美绝伦的杜比视界视频，搭配舒缓音乐，完美缓解压力-哔哩哔哩】,0250,0304,0328,0340
1007,https://b23.tv/5djV91C,【4KHDR 真彩®】 隐秘之地的静谧辉煌 - 4K HDR Dolby Vision-哔哩哔哩】,0122,0145,0220,0280
1008,https://b23.tv/EnBMeyo,【8KHDR 真彩®】 《光之回响》—— 8K HDR 杜比视界™ OLED 极致超高清盛宴-哔哩哔哩】,0424,0440,0500,0530
1009,https://b23.tv/C2Fc5BX,【4KHDR 真彩®】 地球秘境 —— 超高清天堂画卷-哔哩哔哩】,0208,0225,0241,0255
1010,https://b23.tv/Eatxwsn,【4KHDR 真彩®】 极致 4K HDR 杜比视界 —— 60帧 舒缓音乐·释放压力-哔哩哔哩】,0201,0215,0229,0243
1011,https://b23.tv/5PW9kmW,【8KHDR 真彩®】 《极致宽屏日落》—— 真21:9 8KHDR 沉浸式浪漫享受（7680×3240）-哔哩哔哩】,0307,0345,0527,0547
1012,https://b23.tv/25dwH7o,【8KHDR 真彩®】《极境宽幅日落》—— 真32:9 8K HDR 沉浸式视觉享受（7680×2160）-哔哩哔哩】,0327,0348,0428,0459
1013,https://b23.tv/kcaD2Dg,【4KHDR 真彩®】 《我们的星球》—— 惊艳地球 · 4K HDR 杜比视界-哔哩哔哩】,0323,0335,0348,0401
1014,https://b23.tv/FfOyJLu,【8KHDR 真彩®】 真正的 OLED —— 8K ULTRA HD 杜比视界 HDR（2025）-哔哩哔哩】,0345,0359,0412,0421
1015,https://b23.tv/kL7qmdX,【4KHDR 真彩®】 世界最惊艳的 4K HDR 杜比视界 —— 舒缓减压音乐-哔哩哔哩】,0337,0355,0411,0423
1016,https://b23.tv/YSaQYlf,【8KHDR 真彩®】21:9 |《挪威·北境之色》——沉浸式放松影像-哔哩哔哩】【视频标记点 00:01,0252,0309,0322,0332
1017,https://b23.tv/YPfolzs,【8KHDR 真彩®】 32:9《色彩》Dolby Vision 杜比视界-哔哩哔哩,0205,0217,0227,0237
1018,https://b23.tv/vFTSKRO,【8KHDR 真彩®】 最佳杜比视界 8K HDR 120 FPS 视频（4K / 8K 电视测试）-哔哩哔哩】,0116,0126,0136,0145
1019,https://b23.tv/JiKLK1L,【4KHDR 真彩®】 美得令人难以置信的地方 | 4K HDR 杜比视界自然风光 (60FPS)-哔哩哔哩】,0334,0343,0355,0410
1020,https://b23.tv/CezuSiJ,4KHDR 真彩®】 最佳杜比视界 4K 视频 HDR 60FPS - 舒缓压力的放松音乐-哔哩哔哩】,0300,0312,0407,0426
1021,https://b23.tv/6hLF2i6,【4KHDR 真彩®】 地球上最宁静的地方-哔哩哔哩】,0310,0320,0329,0340
1022,https://b23.tv/4qjZbuf,【4KHDR 真彩®】 珍惜奇异的动物 ｜ 令人兴奋的超高清HDR视频-哔哩哔哩】,0223,0229,0235,0242
1023,https://b23.tv/hHuKxsD,【【4KHDR 真彩®】 最好的自然风景杜比视界™视频-哔哩哔哩】,0147,0155,0204,0214
1024,【九三阅兵4.5小时完整版 4K臻高清（附64GB视频网盘原件）】 https://www.bilibili.com/video/BV1AqaCzfEUm/?share_source=copy_web&vd_source=5f1a79f93e2bbbe5bbee66fe819d65ea,九三阅兵4.5小时完整版 4K臻高清（附64GB视频网盘原件）,0233,0254,0400,0417
1025,【航拍中国 第四季：第1集 北京】 https://www.bilibili.com/bangumi/play/ep1779625/?share_source=copy_web,第1集 北京,0203,0221,0326,0344
1026,【航拍中国 第四季：第2集 广西】 https://www.bilibili.com/bangumi/play/ep1800203/?share_source=copy_web,第2集 广西,0303,0319,0527,0542
1027,【航拍中国 第四季：第3集 青海】 https://www.bilibili.com/bangumi/play/ep1829736/?share_source=copy_web,第3集 青海,0227,0247,0406,0422
1028,【航拍中国 第四季：第4集 湖北】 https://www.bilibili.com/bangumi/play/ep1849184/?share_source=copy_web,第4集 湖北,0234,0253,0439,0457
1029,【航拍中国 第四季：第5集 香港】 https://www.bilibili.com/bangumi/play/ep1885683/?share_source=copy_web,第5集 香港,0244,0303,0407,0421
1030,【航拍中国 第四季：第6集 西藏】 https://www.bilibili.com/bangumi/play/ep1917915/?share_source=copy_web,第6集 西藏,0223,0235,0343,0356
1031,【航拍中国 第四季：第7集 澳门】 https://www.bilibili.com/bangumi/play/ep1951524/?share_source=copy_web,第7集 澳门,0215,0250,0250,0328
